Pollinator	Color	Array Type	Concat	estimate	se	TStat	pval
Battus	Dark Blue	CVD-DVD	CvDxBATxDarkBlue-DvDxBATxDarkBlue	-1.683525222	0.355344919	-4.737721381	2.00E-06
Battus	Dark Blue	DVDwC-CVD	DvDwCxBATxDarkBlue-CvDxBATxDarkBlue	0.649377688	0.373627453	1.738035261	0.082205
Battus	Dark Blue	DVDwC-DVD	DvDwCxBATxDarkBlue-DvDxBATxDarkBlue	-1.034147534	0.31912864	-3.24053502	0.001193
Battus	Dark Red	CVD-DVD	CvDxBATxDarkRed-DvDxBATxDarkRed	-2.184606456	0.385188995	-5.671518351	0
Battus	Dark Red	DvDwC-CVD	DvDwCxBATxDarkRed-CvDxBATxDarkRed	1.66125178	0.36541051	4.54626163	5.00E-06
Battus	Dark Red	DVDwC-DVD	DvDwCxBATxDarkRed-DvDxBATxDarkRed	-0.523354676	0.29213358	-1.791490993	0.073215
Battus	Light Red	CVD-DVD	CvDxBATxLightRed-DvDxBATxLightRed	-2.690316688	0.376967267	-7.136738179	0
Battus	Light Red	DVDwC-CVD	DvDwCxBATxLightRed-CvDxBATxLightRed	1.862872442	0.371897579	5.009100746	1.00E-06
Battus	Light Red	DVDwC-DVD	DvDwCxBATxLightRed-DvDxBATxLightRed	-0.827444245	0.319464175	-2.590100265	0.009595
Skip	Dark Blue	CVD-DVD	CvDxSKIPxDarkBlue-DvDxSKIPxDarkBlue	-1.116574195	0.371812015	-3.003061089	0.002673
Skip	Dark Blue	DVDwC-CVD	DvDwCxSKIPxDarkBlue-CvDxSKIPxDarkBlue	1.544081749	0.381750689	4.044738609	5.20E-05
Skip	Dark Blue	DVDwC-DVD	DvDwCxSKIPxDarkBlue-DvDxSKIPxDarkBlue	0.427507554	0.368926216	1.158788766	0.246542
Skip	Dark Red	CVD-DVD	CvDxSKIPxDarkRed-DvDxSKIPxDarkRed	-1.192537462	0.617033362	-1.932695272	0.053274
Skip	Dark Red	DVDwC-CVD	DvDwCxSKIPxDarkRed-CvDxSKIPxDarkRed	0.83673364	0.504080452	1.659920826	0.09693
Skip	Dark Red	DVDwC-DVD	DvDwCxSKIPxDarkRed-DvDxSKIPxDarkRed	-0.355803823	0.696793711	-0.510630071	0.60961
Skip	Light Red	CVD-DVD	CvDxSKIPxLightRed-DvDxSKIPxLightRed	0.012546488	0.360249199	0.034827248	0.972217
Skip	Light Red	DVDwC-CVD	DvDwCxSKIPxLightRed-CvDxSKIPxLightRed	-0.457006465	0.383014102	-1.193184435	0.232797
Skip	Light Red	DVDwC-DVD	DvDwCxSKIPxLightRed-DvDxSKIPxLightRed	-0.444459976	0.406354746	-1.093773313	0.274054
